282,CGMI,Community Gilt Fund A,20100630,0,0,0,0.00,0,97.28,2.71,0,0,0,0
49,CGMG,Community Growth Fund A,20100630,27.82,23.01,44.2,0.00,0,1.38,4.97,0,0,0,0
1160,CGMF,Community Growth Money Market Fund ,20100630,0,0,0,0.00,0,0,100,0,0,0,0
1876,MCOF,Consilium Flexible Fund A,20100630,10.1,25.03,40.61,0.00,9.98,9.75,10.46,16.84,0,0,0.01
2101,CCWF,Consilium Worldwide Flexible Fund ,20100630,0,4.3,0,0.00,0,0,6.1,62.52,0,0,27.07
1625,MCDI,Contego B2 Protected Income Fund ,20100630,9.25,5.46,17.83,0.00,5.95,48.89,24.04,0,0,0,0
1557,CPEP,Contego B5 Protected Equity Portfolio ,20100630,41.59,19.58,30.31,0.00,0,0,9.69,0,0,0,0
1624,MCBB,Contego B6 Protected Balanced Fund ,20100630,29.67,14.39,21.78,0.00,6.89,8.28,1.69,16.34,0,0,1.83
347,GIGE,Coris Capital General Equity Fund A,20100630,30.31,35.55,32.18,0.00,1.03,0.05,2.92,0.17,0,0,0
1498,CCIB,Coris Capital International Bond Feeder Fund A,20100630,0,0,0,0.00,0,0,5.44,0,94.33,0,0.22
654,GIIE,Coris Capital International Equity Fund of Funds A,20100630,0,0,0,0.00,0,0,10.49,88.5,0,0,1
1497,CCIV,Coris Capital International Value Fund of Funds A,20100630,0,0,0,0.00,0,0,4.46,94.48,0,0,1.05
1323,CAFA,Coronation Absolute Fund A,20100630,7.89,13.82,43.3,0.00,4.71,15.19,5.44,17.49,0.52,0,0.39
1906,COBA,Coronation Balanced Defensive Fund A,20100630,2.87,4.73,13.38,0.00,3.28,43.35,24.06,7.24,2.59,0,0
10,CORB,Coronation Balanced Plus Fund A,20100630,13.63,7.55,27.34,0.00,5.96,18.24,8.73,18.54,0,0,0
142,CNSB,Coronation Bond Fund R,20100630,0,0,0,0.00,0,98.88,1.11,0,0,0,0
754,CCPF,Coronation Capital Plus Fund A,20100630,5.73,6.77,27.96,0.00,3.49,36.19,9.94,14.43,1.79,0,0
1370,CCFP,Coronation Cash Plus Fund A,20100630,0,0,0,0.00,0,45.56,54.44,0,0,0,0
